Timestamp	What year are you?	What pets DO YOU HAVE RIGHT NOW? This is the extant question.	What pets HAVE YOU HAD in the past? This is the extirpated question. Sorry for your loss.	In a perfect world what pets do you WANT? This is the expected question. Don't let 'laws' or 'practicality' constrain you.	If you have a cat is it from Hyde Park Cats?	Comments? Care to explain why you want 20 parakeets? Hmmmm?
10/20/2015 13:08:40	5th year	gecko, fish, fish fish, fish, fish, mouse	dog, dog, dog, cat, fish, frog, anole	lungfish, dog	N/A	A while back we kept seeing a mouse scurrying around our kitchen, so one day Justin chased it into an empty cereal box. I told him to just get rid of it, but he proclaimed that it was too cute to kill (it was). He set up a large rubbermaid bin as its home, named it Sweet Pea, and kept it as a pet for one week, when it promptly escaped back into our kitchen.   Due to some fish tank drama (one cichlid trying to eat another cichlid) we moved some fish around to a new tank and got a "friend" for the unfortunate cichlid victim. The friend soon turned into a lover and many cichlid babies were born shortly after. We now have about 50 adult cichlids crammed into two tanks and are trying to figure out what to do with them. Anyone want a cichlid or two? Contact Kate.
10/20/2015 13:11:02	4th year	cat, cat	dog, cat	turtle, possum	Yes	
10/20/2015 13:11:12	3rd year	none	goldfish, goldfish, goldfish,  spring peeper frog, terrarium fulls of arthropods including ticks - sorry Mum, crayfish, minnow, minnow, perch, crayfish, crayfish, cat, cat, goldfish, goldfish, betta, long-toed salamander, stick insect, stick insect, stick insect	Velociraptor, Velociraptor, Velociraptor, Velociraptor, fox, cat, cat, cat, axolotl, hellbender, poison dart frog, poison dart frog, Japanese giant salamander, giant isopod	N/A	I excluded all 20 of the feral cats my family used to feed (kids, don't feed feral cats unless you're going to neuter and adopt them). My 3 stick insects actually turned into more than 50 because they are parthenogenetic and just don't stop laying eggs and sometimes I was too lazy to collect all the eggs and throw them in the autoclave, and then there were tiny baby stick insects crawling all over my office...
10/20/2015 13:12:08	1st year	none	dog, fish, fish	dog, dragon	N/A	
10/20/2015 13:24:25	4th year	Fish	Fish, dog, cat	mongoose	N/A	A mongoose can kill snakes. Snakes are bad. Snakes will chew my face off. I need a mongoose to survive. 
10/20/2015 13:31:00	4th year	none	dog, dog, dog, guineapig, turtle, turtle, turtle turtle, rabbit, ferret, firebellytoad, firebellytoad, chicken, chicken, chicken, beardeddragon 	bloodhound	N/A	none
10/20/2015 13:32:08	4th year	none	dog,gecko,rock	well trained mercat	N/A	
10/20/2015 13:32:36	senior grad student'	cat, cat	Pyrrhura frontalis	Pionites melanocephalus, Pionites melanocephalus, Pionites xanthomerius, Pionites xanthomerius, Aratinga jandaya, Aratinga solstitialis, Anodorhynchus hyacinthinus, Probosciger aterrimus, Lophochroa leadbeateri, Calyptorhynchus funereus, Calyptorhynchus banksii, Nestor notabilis, Strigops habroptilus, Strigops habroptilus, Conuropsis carolinensis, Conuropsis carolinensis, Diadophis punctatus, Apalone ferox, Moloch horridus, Hatteria punctata, Bernese Mountaindog, Newfoundland, Alaskan Malamute,  Japanese Akita, Old English Sheepdog, St. Bernard.	No	I 'plan' to have an indoor aviary the size of a small house for unwanted/problem parrots.  Although in reality I would refuse to ever buy a parrot, only adopt, this is also a list of the most awesome ones that I would want. And some other things for diversity...
10/20/2015 13:38:46	4th year	none	dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, dog, cat, cat, cat, cat, cat, cat, Sciurus carolinensis, Python regius, Boa constrictor, Boa constrictor, Physignathus cocincinus, Chamaeleo calyptratus, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, cichlid, Cyphotilapia frontosa, Rocio octofasciata, Rocio octofasciata, Rocio octofasciata, Amatitlania nigrofasciata, Ariopsis seemanni, Ariopsis seemanni, Pimelodus pictus, Hypostomus plecostomus, Hypostomus plecostomus, Hypostomus plecostomus, Hypostomus plecostomus, Hypostomus plecostomus, Pseudoplatystoma, Chromobotia macracanthus, Chromobotia macracanthus, Chromobotia macracanthus, Balantiocheilos melanopterus, Balantiocheilos melanopterus, Balantiocheilos melanopterus, Balantiocheilos melanopterus, Epalzeorhynchos bicolor, Epalzeorhynchos bicolor, Epalzeorhynchos bicolor, Gnathonemus petersii, solifugid, Danaus plexippus, Papilio polyxenes, Coenobita clypeatus, Coenobita clypeatus, Coenobita clypeatus, Tenodera sinensis	all harvestmen, Bradypus pygmaeus, Bradypus torquatus, Bradypus tridactylus, Bradypus variegatus, Hystrix africaeaustralis, Coendou prehensilis, Ctenodactylus gundi, 	N/A	Do gourds count as pets?
10/20/2015 13:46:35	3rd year	none	turtle, rabbit, frog	beluga whale	No	
10/20/2015 13:55:17	3rd year	none	dog, bird	dog, marmoset	No	
10/20/2015 14:20:21	4th year	cat, cat	hamster, hamster, cat, cat, toad	cat, cat, stingray, stingray, stingray, stingray, stingray, sea slug, sea slug, sea slug, sea slug, sea slug, sea slug, sea slug, sea slug, sea slug, sea slug, sea slug, sea slug, sea slug, sea slug, sea slug	Yes	Any self-respecting stringray tank requires at least 5 stingrays. I would probably scale up over time. The ideal stingray tank would basically encase the entire room, so that you could look down, look at the walls, look at the ceiling, and see stingrays everywhere. That's the dream.  I also want a small tank full of the weirdest looking sea slugs. Because sea slugs are crazy and adorable.
10/20/2015 14:24:26	5th year	gecko	dog, cat, cockatiel, cockatiel, hermit crab, hermit crab, frog, betta fish, betta fish, crow	dog, gecko	N/A	Many pets were really my sister's. In particular, I say we had a frog, but it was a mail-order tadpole that took 10 months to grow legs, but never got bigger. It then lost function in the left side of its body and swam in circles for two weeks.   The crow was a juvenile that had been attacked by something - a dog or some magpies, and was missing some key feathers from it's back end and wing. My sister captured it in the park near our house, carried it home wrapped in a jacket (much to its parents dismay) and fenced it in the side yard. She fed it eggs and noodles and fruits and other leftovers for about a month until it flew away. Its name was Sanchez. She also captured an orange cat in a similar fashion once, but had to give him back to the owner later that evening, even though she had already renamed him Cheddar.   Sheba was a black cat who adopted my family when I was really little. My dad wanted nothing to do with a cat. However, she was ridiculously competent at catching gophers, who had recently destroyed my dad's beautiful new English garden. Think plants disappearing into the ground, Bugs Bunny style. Around Christmas, my mom took one of the "presents" and wrapped it up in a pretty little green striped box with a tag that said "TO EVAN LOVE THE CAT" and left it on the front porch. My dad wasn't amused, but this was the funniest thing in the world to 4-year old Amy.   I had a hermit crab named Maurice Escargot who escaped his tank so often that we painted his shell with pink nail polish so we could find him more easily. We once caught him making his way down the driveway. 
10/20/2015 14:40:26	5th year	sea star	dog, rabbit, turtle, turtle, mouse, mouse	labradoodle puppy, labradoodle puppy	N/A	
10/20/2015 14:50:25	2nd year	cat,cat,fish,hedgehog	cat,cat,cat,cat,dog,dog,fish,fish,fish,fish,fish,fish,hamster,hamster,squirrel,bird,bird,bunny	virginia opossum,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon,pigeon	No	
10/20/2015 15:20:34	5th year	neon tetra, neon tetra, neon tetra, neon tetra, neon tetra, guppy, guppy, guppy, guppy, corydoras catfish, Hymenochirus boettgeri, Hymenochirus boettgeri, Hymenochirus boettgeri, Hymenochirus boettgeri, Hymenochirus boettgeri, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii, Xenopus laevis	newt, newt, fire-bellied toad, fire-bellied toad, fire-bellied toad, Hymenochirus boettgeri, Hymenochirus boettgeri, Hymenochirus boettgeri, Hymenochirus boettgeri,  Pomacea bridgesii, Pomacea bridgesii, dog, dog, dog, dog, anole, anole	dog, dog, bunny, bunny, neon tetra, neon tetra, neon tetra, neon tetra, neon tetra, guppy, guppy, guppy, guppy, corydoras catfish, Hymenochirus boettgeri, Hymenochirus boettgeri, Hymenochirus boettgeri, Hymenochirus boettgeri, Hymenochirus boettgeri, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii, Pomacea bridgesii	N/A	For my seventh birthday, my parents got me an aquarium, and told me I could pick out any pet that I wanted, as long as it lived in the water. I believe this was prompted by my recent attempt to keep toads hidden in my room in an old shoebox. Better to keep any new pets where they could see them – plus, the aquarium had a lid. It was by far the best day of young life. We went to Jack's Aquarium and I lovingly selected colorful gravel, rocks, decorations, and after careful consideration, I brought home an aquatic newt, a small catfish, and a tiny frog.  For context, this was just two short months after the iconic "Ask Jeeves" search engine was created. Google was still years away. It was a different time... a time when you simply put your faith in the assurances of random teenaged pet store employees. We were promised that the three little critters would live in harmony together for the next 2-3 years (a veritable lifetime, to a 7-year-old).   The newt and the catfish kept their end of the bargain, and were adequate if slightly boring pets who crossed the rainbow bridge to the toilet bowl after a few years.   The frog grew. And then grew claws. And he used those claws to tear up plants, his aquarium companions, and essentially any food or non-food item within his reach, including the bullfrog tadpole that I proudly presented to him as a new friend. Long after the other aquarium inhabitants -- who eventually had to be housed in their own, murder-free tank -- were just distant memories, the frog lived on, making occasional bids for freedom that were never quite successful, and spending his nights singing me the song of his people.  On my 17th birthday, I finally Googled "how long do aquatic frogs live?" and discovered that I had a Xenopus. And that at the tender age of 7, I had made what could be up to a 30 year commitment to his care.  He still lives in my childhood bedroom, where he is fed regularly by my long-suffering, squeamish mother, who has never quite forgiven me. He'll be 20 next summer. Just one more decade to go. 
10/20/2015 15:22:13	senior grad student'	cat	dog, canary, cat, dog, hamster, hamster, cat, betta fish, dog, cat, red-eared slider, red-eared slider   	llama, border collie, cat, cat	No	some detail to the pets I have had:  dog, canary, cat*, dog**, hamster, hamster, cat*, betta fish***, dog****, cat*****, red-eared slider, red-eared slider  *ran away/lost **given to a family friend, reportedly lived a happier life there ***a mysterious disappearance during my college years. it was later solved when i found a desiccated fish behind my bookshelf. it closely resembled the dried leaves of a dying plant i also had at the time, hence the confusion.  ****given to a former partner *****given to another darwinian 
10/20/2015 17:22:34	senior grad student'	Phthirus	tarantula, dog, dog, cat, cat, cat, goldfish, molly, molly, molly, molly, molly, molly, swordtail, swordtail, swordtail	blackskirt_tetra, blackskirt_tetra, blackskirt_tetra, blackskirt_tetra, blackskirt_tetra, swordtail, swordtail, swordtail, swordtail, swordtail	N/A	I didn't count the many pets that weren't mine but that lived in the same house as me at some point or another. Also I like fish but only the ones that are really easy to look after.
10/20/2015 19:20:05	1st year	None 	Fish, dogs, cats, turtles, bird, ants, lizard, hamster	Killer whale 	N/A	
10/20/2015 19:41:08	2nd year	dog	cat,cat,hamster,hamster,goldfish,bird,bird	dog,hedgehog,raccoon,lamb,goat	N/A	Technically I don't have a dog yet, but I get him on November 7th!
10/20/2015 23:36:35	5th year	cat	cat, cat, cat, dog, dog, zebra finch	dog, catwhodoesntpeeoncouch, otter	Yes	
10/21/2015 10:12:28	4th year	dog	dog, cat, bunny, fish, birds	sloth	N/A	Hercules once got one the table and ate a stick of butter
10/21/2015 10:56:58	senior grad student'	cat	cat, bunny, bird, chicken, duck	a monkey	No	
10/21/2015 10:57:08	1st year	None	Turtle,dog,cat,bird	Tiger,whale,octopus	No	
10/21/2015 11:00:15	2nd year	none	fish, dog	zombie, zombie, zombie, zombie, zombie	N/A	
10/21/2015 11:00:52	3rd year	none	cat, cat, cat	sea otter, sea otter, penguin, penguin	No	
10/21/2015 11:07:57	4th year	None (But a dog at my parents' place)	dogs	Horses and dogs I want my own horse rescue farm.	N/A	
10/21/2015 11:11:42	3rd year	none'	dog, cat, cat	malabar_whistling_thrush, malabar_whistling_thrush, dog, chicken, chicken, chicken, chicken, chicken, chicken, hill_myna, hill_myna, hill_myna, hill_myna, white-throated_laughingthrush, white-throated_laughtingthrush, white-throated_laughingthrush, white-throated_laughingthrush, white-throated_laughingthrush,racket-tailed_drongo, racket-tailed_drongo, racket-tailed_drongo, archaeopteryx   	N/A	Malabar whistling thrushes have the a beautiful song that I would love to wake up to everyday, recordings aren't half as good. Chicken are amusing to watch. Hill mynas are super smart birds that can learn a lot of words, so that would be fun! White-throated laughingthrushes are pretty, have a lot of fun interactions so I gotta have them. Racket-tailed drongos, coz they would mimic all the other birds I have, won't that be awesome! Aracheopteryx, why not? 
10/21/2015 11:20:23	1st year	dog, dog	dog	dog, elephant	N/A	
10/21/2015 11:31:59	senior grad student'	none	some goldfish	i want an elephant that has been genetically engineered to be the size of a house cat. i would call him homer.	N/A	
10/21/2015 11:50:14	4th year	does Dallas count?	tortoise, cat I (still alive, with Darcy), cat II (still alive, with Darcy)	sloth, puppy, Pallas cat	Yes	My aunt gave me a tortoise when I was ~6 years old and I named her Pancha. A couple of years later my family and I had to move overseas. My mom put Pancha in a diaper (my brother was an infant) in her pocket for the move. We departed successfully but when trying to depart from our layover the authorities detected what they thought was an explosive in my mom's pocket. She was almost arrested and we avoided a large fine because it was apparent from my crying that Pancha was our pet and we weren't part of a smuggling ring. Pancha was confiscated by the authorities, and a few months later we received an official letter explaining that she had been placed in a zoo or sanctuary and that we could never see her again.
10/21/2015 11:56:51	3rd year	cat	Cat,dog,dog,mouse,mouse,mouse,cat,dog	Cat,dog,snake,gecko,iguana,bunny,otter	No	I'd like a reptile wall ala AJ and a mini waterproof in my backyard for the otter to swim and play.
10/21/2015 12:40:47	2nd year	cat	fish,fish,fish	puppy	No	
10/21/2015 16:30:07	2nd year	dog, cat	dog, dog, cat, cat, cat, iguana, rubber boa	a smarter dog, a better cat, desert tortoise, rabbit, iguana, snake, squirrel, capybara, Malabar giant squirrel, squirrel monkey, flying squirrel, every squirrel ever, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel, squirrel	No	
10/21/2015 18:57:01	3rd year	Cat, cat	Cat, cat, cat, cat	Serval, dog, cat	Yes	
10/22/2015 11:04:05	5th year	cat, cat, frog, frog, snail, snail, snail, snail, snail, snail, snail, snail, snail, snail, snail, snail, snail, snail, snail, snail, snail, snail, 	hamster, hamster, hamster, fish, dog, iguana, hamster	dog, dog, moose	Yes	I just want to have a pet moose who will stick his head in the window of my cabin so I can have my morning tea with him, and then leave for work and say "seeya moose" and he would make a rough grunt sound to show he loves me. 
